Unique_ID,Mothur_ID,Site,week,StoretID,date,month,year,cyano_chla,green_chla,brown_chla,PE_chla,tot_chla,Fit_error,led440,led480,led540,led590,led625,est440,est480,est540,est590,est625,check440,check480,check540,check590,check625,diff440,diff480,diff540,diff590,diff625
2018_1_21350001,1_21350001,Beed’s Lake,1,21350001,05/22/18,May,2018,2,3.333333333,15.33333333,3.333333333,24,0,1298.333333,813.3333333,591.6666667,775.6666667,372.6666667,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1296.442432,815.8389698,592.5921406,775.034864,373.5975731,-1.890900934,2.505636456,0.925473888,-0.631802709,0.930906401
2018_1_21810002,1_21810002,Black Hawk,1,21810002,05/22/18,May,2018,0,0,0,0,0,32000,-693.6666667,-904.6666667,-1566.333333,-1466.333333,-2726,Overestimate,Overestimate,Overestimate,Overestimate,Overestimate,1245.953864,546.9384184,597.9173083,2303.822662,1485.076568,1939.620531,1451.605085,2164.250642,3770.155996,4211.076568
2018_1_21940001,1_21940001,Brushy Creek,1,21940001,05/22/18,May,2018,2,0,10,2.666666667,14.66666667,0.333333333,1242,723.3333333,618.3333333,933.6666667,972,Underestimate,Overestimate,Underestimate,Overestimate,Underestimate,1236.274837,732.5283358,592.41913,1115.677646,706.9605021,-5.725162738,9.195002447,-25.91420332,182.0109797,-265.0394979
2018_1_21170001,1_21170001,Clear Lake,1,21170001,05/22/18,May,2018,3.333333333,3.333333333,11,0,17.66666667,0,1365,835,566,846.6666667,506.6666667,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1360.645241,840.7691924,568.1346188,845.2101329,508.811736,-4.354759373,5.769192448,2.134618774,-1.456533772,2.145069301
2018_1_21810001,1_21810001,Denison,1,21810001,05/22/18,May,2018,2,0.666666667,14.33333333,2,19,0,1254,778.3333333,577.3333333,666.6666667,343,Overestimate,Underestimate,Underestimate,Overestimate,Underestimate,1255.929554,775.7772527,576.3828885,667.3146009,342.0460471,1.929553658,-2.556080634,-0.950444799,0.647934263,-0.953952869
2018_1_21420001,1_21420001,Lower Pine Lake,1,21420001,05/22/18,May,2018,2,2.666666667,7.333333333,3.666666667,15.66666667,3,1169,636.6666667,519,883,348.3333333,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1110.912813,713.6293776,547.5102243,863.5430875,376.9791201,-58.08718739,76.96271091,28.5102243,-19.45691252,28.64578681
2018_1_21170002,1_21170002,McIntosh Woods,1,21170002,05/22/18,May,2018,4.666666667,0,18.66666667,4,27.33333333,0,1259.666667,769,645.6666667,887.3333333,466.3333333,Overestimate,Overestimate,Underestimate,Overestimate,Underestimate,1262.818823,776.9063673,624.7280893,894.3634406,459.0803834,3.152156167,7.90636732,-20.93857738,7.030107244,-7.25294991
2018_1_21130002,1_21130002,North Twin Lake East,1,21130002,05/22/18,May,2018,46.33333333,0,0,78.66666667,125,35.66666667,479.6666667,307,884,1542.333333,757.3333333,Overestimate,Overestimate,Underestimate,Overestimate,Underestimate,566.6904387,393.2965888,560.000233,1643.93807,651.6861675,87.02377199,86.29658882,-323.999767,101.6047367,-105.6471659
2018_1_21130001,1,North Twin Lake West,1,21130001,05/22/18,May,2018,28,0,0,66.33333333,94.33333333,32.33333333,580.3333333,357.3333333,862.3333333,1454.333333,740,Overestimate,Overestimate,Underestimate,Overestimate,Underestimate,645.0970481,436.1745687,566.3134033,1557.419802,630.4280007,64.76371479,78.8412354,-296.01993,103.0864685,-109.5719993
2018_1_21500001,1_21500001,Rock Creek,1,21500001,05/22/18,May,2018,1,12,6,0,19,5,1504.333333,838.3333333,390,706.6666667,432.6666667,Underestimate,Overestimate,Overestimate,Overestimate,Underestimate,1415.944375,935.5648676,429.3301012,716.7722116,417.1783533,-76.72229192,97.23153429,39.33010122,10.1055449,-15.48831338
2018_2_21350001,2_21350001,Beed’s Lake,2,21350001,05/30/18,May,2018,3,0,36.33333333,2,41.33333333,0,1110.666667,712.3333333,519.3333333,514,291.6666667,Overestimate,Underestimate,Underestimate,Overestimate,Underestimate,1128.325823,690.384622,508.0450821,521.2231375,281.5059599,17.6591564,-21.9487113,-11.28825123,7.223137528,-10.16070679
2018_2_21810002,2_21810002,Black Hawk,2,21810002,05/30/18,May,2018,0.333333333,1.333333333,2.666666667,0,4.333333333,7.666666667,1408,712,456.6666667,669.6666667,356.6666667,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1317.62241,830.3150382,501.5665099,650.9760922,383.9871519,-90.37759024,118.3150382,44.89984319,-18.69057447,27.32048526
2018_2_21940001,2_21940001,Brushy Creek,2,21940001,05/30/18,May,2018,6,1.333333333,4,1.666666667,13,2,835.3333333,426.6666667,412.3333333,1247,693,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,792.4979756,483.421318,433.3574649,1232.652173,714.1232771,-42.83535775,56.75465132,21.02413158,-14.34782721,21.12327708
2018_2_21170001,2_21170001,Clear Lake,2,21170001,05/30/18,May,2018,4.333333333,2,5.666666667,0,12,0,1138.333333,672.3333333,495.3333333,1111.333333,698.3333333,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1128.66303,685.1356744,500.0124294,1108.210289,702.9794928,-9.670303482,12.80234111,4.679096102,-3.123044226,4.646159508
2018_2_21810001,2_21810001,Denison,2,21810001,05/30/18,May,2018,8.666666667,0,19.66666667,4.333333333,32.66666667,3,1301.666667,861.6666667,771,1138,669,Overestimate,Underestimate,Underestimate,Overestimate,Underestimate,1352.931913,827.3006144,691.9813678,1171.762755,627.8930644,51.26524587,-34.3660523,-79.01863216,33.76275498,-41.1069356
2018_2_21420001,2_21420001,Lower Pine Lake,2,21420001,05/30/18,May,2018,0.333333333,2,3,0,5.333333333,6.666666667,1127.333333,561,361.6666667,549,277.6666667,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1050.621116,662.2680555,399.4597116,526.315275,311.0140176,-76.71221706,101.2680555,37.79304489,-22.68472504,33.34735092
2018_2_21170002,2_21170002,McIntosh Woods,2,21170002,05/30/18,May,2018,3.333333333,2.333333333,7,1.666666667,14.33333333,2.333333333,981.6666667,522.3333333,395.6666667,730.3333333,379.6666667,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,936.080295,582.7325306,418.0406367,715.0644258,402.1467345,-45.58637163,60.39919722,22.37396999,-15.26890753,22.48006786
2018_2_21130002,2_21130002,North Twin Lake East,2,21130002,05/30/18,May,2018,42.66666667,0,28,41,111.6666667,13,974.3333333,658.3333333,958,1810.666667,979,Overestimate,Overestimate,Underestimate,Overestimate,Underestimate,1051.947371,668.4060572,738.7086073,1892.480037,887.4866346,77.61403811,10.07272383,-219.2913927,81.81337063,-91.51336536
2018_2_21130001,2,North Twin Lake West,2,21130001,05/30/18,May,2018,45,0,25.33333333,45,115.3333333,11,628.6666667,422,664.6666667,1251,679.6666667,Overestimate,Overestimate,Underestimate,Overestimate,Underestimate,683.8744214,436.526675,496.8689468,1312.833688,611.1012992,55.20775471,14.52667503,-167.7977198,61.83368767,-68.56536743
2018_2_21500001,2_21500001,Rock Creek,2,21500001,05/30/18,May,2018,8.333333333,11,15.33333333,0,34.66666667,0,1069.666667,637,400.3333333,788.6666667,494.3333333,Underestimate,Overestimate,Overestimate,Overestimate,Underestimate,1051.600595,659.8158419,409.6233131,791.6933952,489.7224628,-18.06607127,22.81584191,9.28997975,3.026728549,-4.610870545
2018_3_21350001,3_21350001,Beed’s Lake,3,21350001,06/05/18,June,2018,0.333333333,27,23,2.666666667,53,0.333333333,1228,838,441.3333333,568.3333333,316.6666667,Overestimate,Underestimate,Underestimate,Overestimate,Underestimate,1247.30906,812.4162595,431.8549668,574.8018205,307.1430966,19.30905965,-25.58374054,-9.478366509,6.468487177,-9.523570055
2018_3_21810002,3_21810002,Black Hawk,3,21810002,06/05/18,June,2018,0.666666667,1,2.666666667,0,4.333333333,5.666666667,1213,622.6666667,514.3333333,630,316.3333333,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1156.477816,705.6176113,529.1353807,615.0534085,340.4055179,-56.52218406,82.9509446,14.80204738,-14.94659154,24.07218458
2018_3_21940001,3_21940001,Brushy Creek,3,21940001,06/05/18,June,2018,17,0,55,11,83,2.666666667,1197.333333,791.6666667,687.3333333,902,529,Overestimate,Underestimate,Underestimate,Overestimate,Underestimate,1242.641537,761.6205163,616.973216,932.0009527,492.5160784,45.30820341,-30.04615035,-70.3601173,30.0009527,-36.48392162
2018_3_21170001,3_21170001,Clear Lake,3,21170001,06/05/18,June,2018,7.666666667,4,6.666666667,0,18.33333333,0,1017,576.3333333,431,1197.666667,775,Underestimate,Overestimate,Overestimate,Overestimate,Underestimate,995.0438421,604.1208036,442.268262,1200.870784,770.1017311,-21.95615786,27.78747027,11.26826197,3.204117735,-4.898268888
2018_3_21810001,3_21810001,Denison,3,21810001,06/05/18,June,2018,3,1.333333333,5.666666667,0.666666667,10.66666667,1,1070.333333,606.6666667,471.6666667,929,509.3333333,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1041.983775,644.2284469,485.579833,919.5050514,523.3125341,-28.34955865,37.56178026,13.91316631,-9.49494859,13.9792008
2018_3_21420001,3_21420001,Lower Pine Lake,3,21420001,06/05/18,June,2018,2,1.333333333,6.333333333,1,10.66666667,2,1252.333333,693.3333333,518.3333333,795.3333333,405.6666667,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1208.88248,750.9036125,539.6584171,780.7802052,427.0932351,-43.45085353,57.57027918,21.32508376,-14.55312811,21.42656841
2018_3_21170002,3_21170002,McIntosh Woods,3,21170002,06/05/18,June,2018,6.666666667,4,8,0,18.66666667,1.666666667,1198,657.3333333,477,1139,674.6666667,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1155.710045,713.3649336,497.7560305,1124.835569,695.5204118,-42.2899547,56.03160029,20.7560305,-14.1644312,20.85374517
2018_3_21130002,3_21130002,North Twin Lake East,3,21130002,06/05/18,June,2018,71.33333333,0,24.66666667,67,163,8,529,348.6666667,590.3333333,1256,668.3333333,Overestimate,Overestimate,Underestimate,Overestimate,Underestimate,571.3317913,366.5069956,450.9160041,1306.725178,612.5995216,42.33179129,17.84032892,-139.4173293,50.72517798,-55.73381172
2018_3_21130001,3,North Twin Lake West,3,21130001,06/05/18,June,2018,75.66666667,0,22,76.66666667,174.3333333,13.66666667,626.6666667,425.3333333,765,1571.666667,837.3333333,Overestimate,Overestimate,Underestimate,Overestimate,Underestimate,690.4005503,447.0413853,563.3637486,1645.490742,755.8509716,63.73388362,21.70805192,-201.6362514,73.82407541,-81.48236178
2018_3_21500001,3_21500001,Rock Creek,3,21500001,06/05/18,June,2018,8.333333333,10.33333333,27,1.333333333,47,0,1054.666667,656.3333333,436.6666667,678.6666667,400,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1054.429349,656.6481586,436.7814143,678.588464,400.1153014,-0.237317246,0.314825266,0.114747665,-0.078202657,0.115301382
2018_4_21350001,4_21350001,Beed’s Lake,4,21350001,06/12/18,June,2018,0,0,0,0,0,32000,-1721,-1360.666667,-2386,-4836,-2094.666667,Overestimate,Overestimate,Overestimate,Overestimate,Overestimate,2228.55499,1442.484052,1388.328799,4857.753388,2109.02746,3949.55499,2803.150718,3774.328799,9693.753388,4203.694127
2018_4_21810002,4_21810002,Black Hawk,4,21810002,06/12/18,June,2018,8.333333333,3,6,0.333333333,17.66666667,1.666666667,833.3333333,419.6666667,360.3333333,1131.666667,682.3333333,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,790.669701,476.1947271,381.273385,1117.376581,703.3724891,-42.66363231,56.52806047,20.9400517,-14.29008603,21.03915575
2018_4_21940001,4_21940001,Brushy Creek,4,21940001,06/12/18,June,2018,3,1,6,2,12,2,1268.666667,697,591,1159.333333,557.3333333,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1218.372451,763.6377141,615.6844873,1142.48742,582.1351474,-50.29421524,66.63771413,24.68448731,-16.84591381,24.80181403
2018_4_21170001,4_21170001,Clear Lake,4,21170001,06/12/18,June,2018,14,0.333333333,8,0.333333333,22.66666667,0,787.3333333,441.3333333,444,1433.333333,923.6666667,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,784.5706585,444.9942802,445.3534304,1432.408976,925.0261237,-2.762674811,3.660946871,1.353430446,-0.924357047,1.359457031
2018_4_21810001,4_21810001,Denison,4,21810001,06/12/18,June,2018,0,1,2.333333333,0,3.333333333,4.333333333,1212.333333,638.3333333,403,528,272.3333333,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1147.493693,723.6299097,435.0559999,511.241223,296.9218226,-64.83963987,85.29657641,32.05599988,-16.75877703,24.58848931
2018_4_21420001,4_21420001,Lower Pine Lake,4,21420001,06/12/18,June,2018,2.333333333,1.666666667,6.666666667,2.333333333,13,0.666666667,1414.666667,834.6666667,680,1229,591.3333333,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1386.305634,872.243825,693.9182522,1219.501521,605.3184176,-28.36103291,37.57715838,13.91825219,-9.498479387,13.98508427
2018_4_21170002,4_21170002,McIntosh Woods,4,21170002,06/12/18,June,2018,17.66666667,2,9.666666667,4.333333333,33.66666667,0.666666667,691,372,381.6666667,1209.333333,686.6666667,Overestimate,Underestimate,Underestimate,Overestimate,Underestimate,597.7930318,363.0001079,378.3313178,1211.609168,683.315271,6.793031764,-8.999892106,-3.335348849,2.275834362,-3.351395668
2018_4_21130002,4_21130002,North Twin Lake East,4,21130002,06/12/18,June,2018,80.66666667,0,28,70.66666667,179.3333333,8.666666667,582.3333333,377.3333333,641.6666667,1380.333333,742.3333333,Overestimate,Overestimate,Underestimate,Overestimate,Underestimate,626.3458022,399.7191654,490.5555663,1434.969498,682.5774497,44.01246886,22.3858321,-151.1111003,54.63616487,-59.75588366
2018_4_21130001,4,North Twin Lake West,4,21130001,06/12/18,June,2018,71.66666667,0,32.33333333,64,168,7.333333333,588.6666667,377.6666667,604.6666667,1258.333333,676,Overestimate,Overestimate,Underestimate,Overestimate,Underestimate,627.6132069,399.0007856,468.5018941,1307.434578,622.4030389,38.94654026,21.33411893,-136.1647725,49.10124471,-53.59696107
2018_4_21500001,4_21500001,Rock Creek,4,21500001,06/12/18,June,2018,10,19,18.66666667,0,47.66666667,1,1278.666667,860.6666667,483.3333333,907.6666667,611,Overestimate,Underestimate,Underestimate,Overestimate,Underestimate,1294.854822,825.1756728,471.769908,933.264466,573.020568,25.18815542,-35.49099388,-11.56342531,25.59779934,-37.97943195
2018_5_21350001,5_21350001,Beed’s Lake,5,21350001,06/19/18,June,2018,2.666666667,7,12.33333333,8.333333333,30.33333333,0,1445.666667,903,688.3333333,1160.333333,472.6666667,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1425.691587,929.4662795,698.1365926,1153.643077,482.5173134,-19.97507967,26.46627955,9.803259225,-6.690256389,9.850646723
2018_5_21810002,5_21810002,Black Hawk,5,21810002,06/19/18,June,2018,3.25,2.75,4.75,0,10.75,2.5,1087.25,575.25,392.75,781,518.5,Underestimate,Overestimate,Overestimate,Overestimate,Underestimate,1033.917742,641.7748854,420.4901833,796.6505639,494.8867853,-53.33225839,66.52488538,27.74018333,15.65056385,-23.61321475
2018_5_21940001,5_21940001,Brushy Creek,5,21940001,06/19/18,June,2018,1,1.666666667,8,2,12.66666667,0,1347.333333,825.6666667,606,785,366.3333333,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1304.356017,946.3409872,1257.486174,3043.608325,918.1327154,-42.97731648,120.6743206,651.4861739,-454.7250081,551.7993821
2018_5_21170001,5_21170001,Clear Lake,5,21170001,06/19/18,June,2018,8.333333333,3.666666667,6.333333333,0,18.33333333,0,1006,561.6666667,426.6666667,1242,801,Underestimate,Overestimate,Overestimate,Overestimate,Underestimate,980.6336778,594.090734,439.5643507,1243.106469,799.2073045,-25.36632219,32.42406738,12.89768404,1.106469078,-1.792695476
2018_5_21810001,5_21810001,Denison,5,21810001,06/19/18,June,2018,11.83333333,7.166666667,17.5,3.5,40,0,1147.5,674.5,514.8333333,1093.333333,615.6666667,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1128.485606,699.6929519,524.1643975,1086.965551,625.0420701,-19.01439425,25.19295195,9.331064175,-6.367782433,9.375403438
2018_5_21420001,5_21420001,Lower Pine Lake,5,21420001,06/19/18,June,2018,14,2,12,4,32,0,1014.666667,599.6666667,542.3333333,1396.333333,799.3333333,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1006.472169,610.5249841,546.3536223,1393.58984,803.3727408,-8.194497781,10.85831746,4.020288992,-2.743493327,4.039407492
2018_5_21170002,5_21170002,McIntosh Woods,5,21170002,06/19/18,June,2018,30.66666667,0,7.333333333,5,43,0.333333333,412.3333333,193.3333333,285,1196.333333,717.3333333,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,393.5453321,220.2669233,290.9463316,1191.049317,725.6352739,-18.78800118,26.93358995,5.946331648,-5.284016573,8.30194059
2018_5_21130002,5_21130002,North Twin Lake East,5,21130002,06/19/18,June,2018,93.66666667,0,23,69.66666667,186.3333333,11.66666667,542.6666667,341.3333333,661.6666667,1468.333333,825.3333333,Overestimate,Overestimate,Underestimate,Overestimate,Underestimate,591.2903334,373.5341567,482.7355102,1532.386492,755.794382,48.62366671,32.2008234,-178.9311564,64.05315896,-69.53895134
2018_5_21130001,5,North Twin Lake West,5,21130001,06/19/18,June,2018,89.33333333,0,29.33333333,62,180.6666667,9,567.3333333,353,624.6666667,1390.333333,784.3333333,Overestimate,Overestimate,Underestimate,Overestimate,Underestimate,609.012047,381.3446405,470.1011198,1445.604888,724.3764557,41.67871365,28.34464051,-154.5655469,55.27155509,-59.95687761
